,Interval,CumulativePlayerPointsInterval,Home,TeamRest,OpponentTeamRest,CumulativeTeamPointsInterval,CumulativeOpponentPointsInterval,ScoreMarginInterval,ScoreMarginxTimeRemainingInterval,ScoreMarginxTimeRemaining2Interval,RollingAvgPlayerPoints,RollingAverageOpposingTeamAllowedPoints,RollingAverageTeamPoints,Player,res,GameId
44874,3,16.0,0,4.0,4.0,94,84,10,120.0,1440.0,15.9807650960478,118.87799562346042,116.1023801901169,A. Crabbe - crabbal01,3.4997936503097304,1926
67144,4,20.0,0,4.0,4.0,127,121,6,0.0,0.0,15.9807650960478,118.87799562346042,116.1023801901169,A. Crabbe - crabbal01,2.2293963100277208,1926
89416,0,0.0,0,3.0,3.0,0,0,0,0.0,0.0,17.031337806236383,119.27090861630757,117.73798765903727,A. Crabbe - crabbal01,4.334533454231294,2357
336,1,2.0,0,3.0,3.0,29,21,8,288.0,10368.0,17.031337806236383,119.27090861630757,117.73798765903727,A. Crabbe - crabbal01,2.745117297090245,2357
22606,2,8.0,0,3.0,3.0,60,56,4,96.0,2304.0,17.031337806236383,119.27090861630757,117.73798765903727,A. Crabbe - crabbal01,2.6297638790819815,2357
44876,3,13.0,0,3.0,3.0,92,88,4,48.0,576.0,17.031337806236383,119.27090861630757,117.73798765903727,A. Crabbe - crabbal01,2.075962828559643,2357
67146,4,22.0,0,3.0,3.0,125,127,-2,0.0,0.0,17.031337806236383,119.27090861630757,117.73798765903727,A. Crabbe - crabbal01,3.128280642657096,2357
89419,0,0.0,0,3.0,3.0,0,0,0,0.0,0.0,29.66110594763221,116.19408176074808,119.25960352958762,A. Davis - davisan02,3.716994362439516,565
339,1,13.0,0,3.0,3.0,30,33,-3,108.0,3888.0,29.66110594763221,116.19408176074808,119.25960352958762,A. Davis - davisan02,6.71054619634259,565
22609,2,17.0,0,3.0,3.0,64,64,0,0.0,0.0,29.66110594763221,116.19408176074808,119.25960352958762,A. Davis - davisan02,5.670785984070472,565
44879,3,22.0,0,3.0,3.0,94,90,4,48.0,576.0,29.66110594763221,116.19408176074808,119.25960352958762,A. Davis - davisan02,5.295025450111745,565
67149,4,32.0,0,3.0,3.0,119,122,-3,0.0,0.0,29.66110594763221,116.19408176074808,119.25960352958762,A. Davis - davisan02,6.869658832832012,565
89420,0,0.0,0,2.0,2.0,0,0,0,0.0,0.0,17.888238787259983,117.38758132789258,124.70576304842376,A. Davis - davisan02,4.1764037359307,566
340,1,5.0,0,2.0,2.0,28,34,-6,216.0,7776.0,17.888238787259983,117.38758132789258,124.70576304842376,A. Davis - davisan02,3.82516705347017,566
22610,2,14.0,0,2.0,2.0,49,59,-10,240.0,5760.0,17.888238787259983,117.38758132789258,124.70576304842376,A. Davis - davisan02,5.383673439262972,566
44880,3,20.0,0,2.0,2.0,84,79,5,60.0,720.0,17.888238787259983,117.38758132789258,124.70576304842376,A. Davis - davisan02,5.046022915398442,566
67150,4,20.0,0,2.0,2.0,129,124,5,0.0,0.0,17.888238787259983,117.38758132789258,124.70576304842376,A. Davis - davisan02,2.073116991362863,566
89421,0,0.0,0,2.0,2.0,0,0,0,0.0,0.0,20.44405240212218,114.13479514621676,116.190114302172,A. Davis - davisan02,4.016343947180053,744
341,1,3.0,0,2.0,2.0,28,20,8,288.0,10368.0,20.44405240212218,114.13479514621676,116.190114302172,A. Davis - davisan02,2.8676625307255907,744
22611,2,3.0,0,2.0,2.0,56,50,6,144.0,3456.0,20.44405240212218,114.13479514621676,116.190114302172,A. Davis - davisan02,0.29147434712354003,744
44881,3,3.0,0,2.0,2.0,91,84,7,84.0,1008.0,20.44405240212218,114.13479514621676,116.190114302172,A. Davis - davisan02,-2.425880804113708,744
67151,4,6.0,0,2.0,2.0,116,106,10,0.0,0.0,20.44405240212218,114.13479514621676,116.190114302172,A. Davis - davisan02,-3.932344299790649,744
89422,0,0.0,0,2.0,2.0,0,0,0,0.0,0.0,34.488060064278194,136.17684520621788,129.32225231668954,A. Davis - davisan02,4.587813896998855,836
342,1,7.0,0,2.0,2.0,39,31,8,288.0,10368.0,34.488060064278194,136.17684520621788,129.32225231668954,A. Davis - davisan02,5.024783780333368,836
